,topic,name,user,star,fork,watch,issue,pull_requests,projects,topic_tag,discription_text,discription_url,commits,branches,packages,releases,contributers,License,url
47,java,xxl-job,xuxueli,13.5k,5.8k,889,62,11,0,"['xxl-job', 'job', 'quartz', 'glue', 'task', 'schedule', 'scheduler', 'java', 'distributed', 'restful']",A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,http://www.xuxueli.com/xxl-job/,"1,571",11,0,0,29,GPL-3.0,https://github.com/xuxueli/xxl-job
48,java,You-Dont-Need-JavaScript,you-dont-need,13.3k,778,392,25,2,0,"['css', 'javascript', 'accordion', 'counter', 'burger-menu', 'carousel', 'game', 'treeview', 'tooltip', 'popover', 'font', 'textfield']","CSS is powerful, you can do a lot of things without JS.",,121,1,0,0,0,View license,https://github.com/you-dont-need/You-Dont-Need-JavaScript
49,java,mybatis-3,mybatis,13.3k,8.8k,1.2k,112,47,0,"['sql', 'mybatis', 'java']",MyBatis SQL mapper framework for Java,http://mybatis.github.io/mybatis-3/,"3,338",8,0,0,31,View license,https://github.com/mybatis/mybatis-3
50,java,cat,dianping,13.1k,4.3k,1.1k,46,9,0,"['apm', 'java', 'distributed', 'realtime', 'monitoring', 'tracing', 'metrics']","CAT 作为服务端项目基础组件，提供了 Java, C/C++, Node.js, Python, Go 等多语言客户端，已经在美团点评的基础架构中间件框架（MVC框架，RPC框架，数据库框架，缓存框架等，消息队列，配置系统等）深度集成，为美团点评各业务线提供系统丰富的性能指标、健康状况、实时告警等。",,"7,287",9,0,0,7,Apache-2.0,https://github.com/dianping/cat
51,java,WebViewJavascriptBridge,marcuswestin,13.1k,2.8k,518,65,19,0,[],An iOS/OSX bridge for sending messages between Obj-C and JavaScript in UIWebViews/WebViews,http://marcuswest.in,463,6,0,0,31,MIT,https://github.com/marcuswestin/WebViewJavascriptBridge
52,java,dbeaver,dbeaver,13.1k,1.2k,399,"1,302",3,1,"['sql', 'database', 'dbeaver', 'gui', 'mysql', 'postgresql', 'oracle', 'db2', 'sqlite', 'erd', 'java']",Free universal database tool and SQL client,http://dbeaver.io,"15,766",17,0,0,112,Apache-2.0,https://github.com/dbeaver/dbeaver
53,java,spring-cloud-alibaba,alibaba,13k,3.8k,841,206,27,0,"['spring-cloud', 'java', 'spring', 'microservices', 'cloud-native', 'spring-cloud-core', 'alibaba-oss', 'alibaba', 'dubbo', 'rocketmq', 'nacos', 'aliyun', 'service-discovery', 'service-registry', 'distributed-configuration', 'distributed-messaging', 'distributed-transaction', 'circuit-breaker', 'alibaba-middleware', 'spring-cloud-alibaba']",Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.,https://spring.io/projects/spring-clo…,"1,468",4,0,0,17,Apache-2.0,https://github.com/alibaba/spring-cloud-alibaba
54,java,awesome-java-cn,jobbole,12.9k,4.4k,1.5k,3,1,0,[],Java资源大全中文版，包括开发库、开发工具、网站、博客、微信、微博等，由伯乐在线持续更新。,,241,1,0,0,0,Fetching contributors,https://github.com/jobbole/awesome-java-cn
55,java,redisson,redisson,12.8k,3.1k,862,124,19,,"['java', 'redis', 'lock', 'map', 'list', 'queue', 'executor', 'redis-cluster', 'redis-client', 'distributed', 'set', 'distributed-locks', 'tomcat', 'hibernate', 'cache', 'scheduler', 'mapreduce', 'spring', 'session']","Redisson - Redis Java client with features of In-Memory Data Grid. Over 50 Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Publish / Subscribe, Bloom filter, Spring Cache, Tomcat, Scheduler, JCache API, Hibernate, MyBatis, RPC, local cache ...",https://redisson.pro,"5,633",3,0,0,164,Apache-2.0,https://github.com/redisson/redisson
56,java,HikariCP,brettwooldridge,12.8k,2k,716,202,37,0,"['java', 'connection-pool', 'jdbc', 'high-performance']","光 HikariCP・A solid, high-performance, JDBC connection pool at last.",,"2,704",8,0,0,94,Apache-2.0,https://github.com/brettwooldridge/HikariCP
57,java,JavaScript30,wesbos,12.5k,14.5k,535,7,0,,[],30 Day Vanilla JS Challenge,https://JavaScript30.com,325,1,0,0,0,Fetching contributors,https://github.com/wesbos/JavaScript30
